Aggregate confusion matrix: chromhmm vs Roadmap E116 (chr17, chr19, chr21, chr22)
Values = % of our state bins assigned to each Roadmap state

                1_TssA  2_TssAFl  3_TxFlnk      4_Tx    5_TxWk    6_EnhG     7_Enh  8_ZNF/Rp     9_Het  10_TssBi  11_BivFl  12_EnhBi  13_ReprP  14_ReprP  15_Quies
  State 1        0.1%      0.0%      0.1%     49.4%     16.0%      0.8%      0.1%     13.9%     17.7%      0.0%      0.0%      0.0%      0.0%      0.0%      1.9%
  State 2        0.2%      0.1%      0.0%     11.4%     44.4%      0.7%      2.6%      0.8%      4.7%      0.0%      0.0%      0.1%      0.1%      3.7%     31.2%
  State 3        1.0%     16.3%      2.2%      1.2%      7.8%     11.1%     52.6%      1.6%      0.5%      0.1%      0.4%      1.1%      0.2%      0.9%      2.9%
  State 4       41.8%     32.3%      8.6%      0.5%      3.6%      2.4%      6.4%      1.2%      0.2%      0.4%      0.6%      0.3%      0.2%      0.6%      0.9%
  State 5        0.0%      0.1%      0.0%      0.2%      1.9%      0.0%      0.1%      0.2%      7.0%      0.0%      0.0%      0.0%      0.0%      1.7%     88.6%
  State 7        1.1%      2.1%      0.0%      0.0%      6.4%      0.0%     35.1%      3.2%      9.6%      0.0%      0.0%      0.0%      2.1%      2.1%     38.3%
  State 8        2.3%      1.1%      0.0%      0.1%      1.5%      0.0%      3.4%      2.6%     26.9%      0.0%      0.1%      0.1%      0.1%      0.9%     61.0%
  State 9        0.0%      0.0%      0.0%      0.0%      9.1%      0.0%      0.0%      0.0%      2.0%      0.0%      0.0%      0.0%      0.0%     11.1%     77.8%
  State10        0.0%      0.1%      0.0%      0.1%      2.2%      0.0%      0.6%      0.0%      3.0%      0.0%      0.0%      0.1%      1.6%     34.5%     57.7%
